user_id,mood,recent_activity,suggested_activity,timestamp
133,Comparison/Social Pressure,"Practice the ""Noticing Without Judgment"" Technique – Observe comparison thoughts without attaching emotions.",List 3 Things You’ve Achieved Lately – Remind yourself of personal progress.,2025-03-01T21:38:24.704990+00:00
182,Nostalgia/Irony,Write Down a Lesson From Your Past That Still Guides You – Reflect on how past experiences have shaped you.,Write Down a Lesson From Your Past That Still Guides You – Reflect on how past experiences have shaped you.,2025-02-24T21:38:24.704992+00:00
211,Empathy/Compassion,Visualize Walking in Someone Else’s Shoes – Imagine another’s perspective to enhance understanding.,Loving-Kindness Meditation – Send kind thoughts to yourself and others to cultivate compassion.,2025-02-17T21:38:24.704994+00:00
137,Anger/Resentment,"Cooling Breath – Inhale through curled tongue, exhale through nose. Repeat 10 times.","Tear Paper into Small Bits – Write your anger down, then tear the paper into tiny pieces.",2025-02-27T21:38:24.704996+00:00
420,Anger/Resentment,"Count Backward from 100 by 7s – Forces logical thinking, distracting from anger.","Cooling Breath – Inhale through curled tongue, exhale through nose. Repeat 10 times.",2025-02-20T21:38:24.704998+00:00
210,Sadness/Despair,"Mindful Walking – Take a slow walk, paying attention to your breathing and steps.",Holding a Weighted Object – Hug a pillow or weighted blanket for comfort.,2025-02-15T21:38:24.705000+00:00
224,Anxiety/Stress,"Rocking Motion – Sit and rock gently, or sway while standing to self-soothe.","Rocking Motion – Sit and rock gently, or sway while standing to self-soothe.",2025-02-15T21:38:24.705002+00:00
377,Comparison/Social Pressure,Mindful Scrolling – Set a timer to use social media intentionally without overconsumption.,Engage in a Hobby You Love – Redirect focus to enjoyable and fulfilling activities.,2025-02-16T21:38:24.705004+00:00
436,Love/Trust Issues,"Hand-on-Heart Exercise – Close your eyes, place your hand on your heart, and take deep breaths to cultivate self-compassion.",Create a “What I Want in Love” List – Clarify personal relationship standards and desires.,2025-03-11T21:38:24.705006+00:00
439,Shame/Guilt,"Self-Compassion Exercise – Say: \“I am human, and mistakes help me grow.\”",Draw a Representation of Your Shame – Express emotions visually through drawing.,2025-03-05T21:38:24.705008+00:00
276,Love/Trust Issues,Draw a Symbol of Trust – Visually represent trust to redefine what it means to you.,Do One Thing That Makes You Feel Loved – Engage in a comforting activity that brings joy and warmth.,2025-02-25T21:38:24.705010+00:00
233,Disappointment/Regret,Talk to Yourself Kindly – Replace negative self-talk with encouragement.,Mindful Coloring – Draw or color to distract and reset your focus.,2025-02-23T21:38:24.705012+00:00
297,Love/Trust Issues,"Self-Love Affirmations – Repeat: ""I am worthy of love and trust"" to reinforce self-acceptance.",Journaling to Release Pain – Write about emotions and experiences to process heartbreak.,2025-03-11T21:38:24.705014+00:00
419,Nostalgia/Irony,Smell a Familiar Scent from Your Past – Use scent to trigger nostalgic memories.,Write Down a Lesson From Your Past That Still Guides You – Reflect on how past experiences have shaped you.,2025-03-12T21:38:24.705016+00:00
385,Happiness/Joy,Savor a Happy Memory for 60 Seconds – Close your eyes and relive a joyful moment.,Savor a Happy Memory for 60 Seconds – Close your eyes and relive a joyful moment.,2025-02-21T21:38:24.705018+00:00
477,Comparison/Social Pressure,Unfollow Triggers on Social Media – Remove content that negatively affects self-perception.,List 3 Strengths Unique to You – Focus on personal qualities that make you special.,2025-03-04T21:38:24.705020+00:00
318,Disappointment/Regret,Shake Your Body for 30 Seconds – Helps release frustration physically.,Set a Small Goal – Achieve something simple to rebuild confidence.,2025-02-19T21:38:24.705023+00:00
284,Belonging/Connection,Write 3 Things You Like About Yourself – Boost self-acceptance and confidence.,Join an Online Forum or Community Related to Your Interests – Engage with like-minded individuals.,2025-02-16T21:38:24.705025+00:00
442,Anxiety/Stress,"Box Breathing – Inhale for 4 sec, hold for 4 sec, exhale for 4 sec, hold for 4 sec. Repeat 5 times.",Self-Hug – Wrap your arms around yourself and squeeze gently for 30 seconds.,2025-02-24T21:38:24.705027+00:00
150,Love/Trust Issues,Write: “What Do I Need to Feel Safe?” – Identify emotional needs to build trust in relationships.,Give Yourself a Warm Hug – Use physical self-soothing techniques to promote emotional security.,2025-03-02T21:38:24.705029+00:00
407,Pride/Confidence,"Try a ""Yes, I Can"" Mantra – Repeat this phrase 10 times to reinforce self-efficacy.",Write a Letter to Your Future Self – Encourage yourself by acknowledging strengths and aspirations.,2025-03-06T21:38:24.705031+00:00
439,Anxiety/Stress,"Box Breathing – Inhale for 4 sec, hold for 4 sec, exhale for 4 sec, hold for 4 sec. Repeat 5 times.","Box Breathing – Inhale for 4 sec, hold for 4 sec, exhale for 4 sec, hold for 4 sec. Repeat 5 times.",2025-02-22T21:38:24.705033+00:00
236,Curiosity/Awe,Go for a Walk in a New Direction – Explore a new route to experience novelty and excitement.,Read a Random Wikipedia Page – Discover something new by exploring unexpected topics.,2025-03-07T21:38:24.705035+00:00
190,Comparison/Social Pressure,Turn Envy into Admiration – Shift perspective by learning from those you admire.,Reframe a Comparison Thought – Replace negative comparisons with self-growth affirmations.,2025-03-04T21:38:24.705037+00:00
286,Empathy/Compassion,Pet or Hug Yourself – Use self-soothing techniques to generate warmth and comfort.,Help Someone Anonymously – Perform a kind act without seeking recognition.,2025-03-01T21:38:24.705039+00:00
207,Happiness/Joy,Look at Bright Colors or a Sunset – Vibrant colors can lift your mood.,Watch a Comedy Skit – Laughter boosts immunity and happiness.,2025-02-14T21:38:24.705041+00:00
172,Comparison/Social Pressure,List 3 Strengths Unique to You – Focus on personal qualities that make you special.,Engage in a Hobby You Love – Redirect focus to enjoyable and fulfilling activities.,2025-02-28T21:38:24.705043+00:00
321,Anxiety/Stress,"Rocking Motion – Sit and rock gently, or sway while standing to self-soothe.",Self-Hug – Wrap your arms around yourself and squeeze gently for 30 seconds.,2025-02-24T21:38:24.705045+00:00
134,Happiness/Joy,Watch a Comedy Skit – Laughter boosts immunity and happiness.,Smell Something Pleasant – Inhale a favorite scent like citrus or lavender.,2025-03-01T21:38:24.705047+00:00
333,Comparison/Social Pressure,Engage in a Hobby You Love – Redirect focus to enjoyable and fulfilling activities.,List 3 Strengths Unique to You – Focus on personal qualities that make you special.,2025-02-15T21:38:24.705049+00:00
351,Nostalgia/Irony,Recall a Funny or Embarrassing Moment & Laugh About It – Embrace emotional growth through humor.,Draw a Memory From Your Childhood – Express nostalgia creatively through art.,2025-03-15T21:38:24.705051+00:00
100,Pride/Confidence,"Take a 5-Minute Victory Walk – Walk with pride, as if celebrating a win.",List 3 Skills You Have Mastered – Reinforce self-trust by recognizing personal achievements.,2025-02-27T21:38:24.705053+00:00
409,Love/Trust Issues,Draw a Symbol of Trust – Visually represent trust to redefine what it means to you.,Slow Deep Breathing (10 Rounds) – Practice deep breathing to regulate emotional responses.,2025-03-10T21:38:24.705055+00:00
376,Curiosity/Awe,Try a “Beginner’s Mind” Exercise – Observe an everyday object as if seeing it for the first time.,Stare at a Beautiful Photo or Artwork – Take in visual beauty to activate a sense of awe.,2025-02-14T21:38:24.705056+00:00
121,Pride/Confidence,Journal One Thing You Did Well Today – Develop a habit of tracking small successes.,List 3 Skills You Have Mastered – Reinforce self-trust by recognizing personal achievements.,2025-02-19T21:38:24.705058+00:00
341,Anxiety/Stress,"Progressive Muscle Relaxation – Tense each muscle for 5 sec, then release.","4-7-8 Breathing – Inhale for 4 sec, hold for 7 sec, exhale for 8 sec. Repeat 5 times.",2025-02-22T21:38:24.705060+00:00
205,Nostalgia/Irony,Write a Letter to Your Younger Self – Process past and present emotions through writing.,Write a Letter to Your Younger Self – Process past and present emotions through writing.,2025-03-08T21:38:24.705062+00:00
185,Happiness/Joy,Smell Something Pleasant – Inhale a favorite scent like citrus or lavender.,Watch a Comedy Skit – Laughter boosts immunity and happiness.,2025-03-06T21:38:24.705064+00:00
451,Shame/Guilt,"Mirror Affirmations – Look in the mirror and say: ""I am enough.""",Draw a Representation of Your Shame – Express emotions visually through drawing.,2025-03-15T21:38:24.705066+00:00
436,Belonging/Connection,Give a Genuine Compliment to Someone – Encourage positive social interactions.,Listen to a Podcast About Human Stories – Feel connected through shared experiences.,2025-02-17T21:38:24.705068+00:00
282,Empathy/Compassion,"Write a Gratitude Letter to Someone – Express appreciation, even if the letter isn’t sent.",Listen Deeply to Someone Without Responding – Practice active listening to build empathy.,2025-03-05T21:38:24.705070+00:00
262,Shame/Guilt,Talk to Yourself Like a Friend – Imagine what you would say to comfort a friend.,"Mirror Affirmations – Look in the mirror and say: ""I am enough.""",2025-02-24T21:38:24.705072+00:00
297,Happiness/Joy,Watch a Comedy Skit – Laughter boosts immunity and happiness.,Smell Something Pleasant – Inhale a favorite scent like citrus or lavender.,2025-02-14T21:38:24.705074+00:00
278,Disappointment/Regret,List Past Successes – Remind yourself of previous accomplishments.,"Write a ""Worst-Case Scenario"" & Counter It – Helps reframe negativity.",2025-02-25T21:38:24.705076+00:00
432,Anger/Resentment,Hold Ice Cubes in Hands – The cold sensation calms anger quickly.,"Cooling Breath – Inhale through curled tongue, exhale through nose. Repeat 10 times.",2025-02-28T21:38:24.705078+00:00
337,Love/Trust Issues,Journaling to Release Pain – Write about emotions and experiences to process heartbreak.,Create a “What I Want in Love” List – Clarify personal relationship standards and desires.,2025-03-15T21:38:24.705080+00:00
143,Pride/Confidence,"Take a 5-Minute Victory Walk – Walk with pride, as if celebrating a win.",Write a Letter to Your Future Self – Encourage yourself by acknowledging strengths and aspirations.,2025-02-19T21:38:24.705082+00:00
410,Happiness/Joy,Stretch Arms Up & Smile – Changing posture can improve mood instantly.,Watch a Comedy Skit – Laughter boosts immunity and happiness.,2025-03-13T21:38:24.705084+00:00
170,Shame/Guilt,Tense & Release Your Hands – Helps release built-up guilt and tension.,Listen to Soothing Music Without Lyrics – Helps quiet self-criticism and promote relaxation.,2025-02-23T21:38:24.705086+00:00
272,Anxiety/Stress,"4-7-8 Breathing – Inhale for 4 sec, hold for 7 sec, exhale for 8 sec. Repeat 5 times.","Progressive Muscle Relaxation – Tense each muscle for 5 sec, then release.",2025-02-21T21:38:24.705088+00:00
449,Anger/Resentment,"Cooling Breath – Inhale through curled tongue, exhale through nose. Repeat 10 times.","Write an Angry Letter (Then Destroy It) – Write down your feelings, then shred or burn the letter safely.",2025-02-25T21:38:24.705090+00:00
402,Pride/Confidence,Set a Mini Goal & Achieve It – Accomplish a small task to boost confidence.,Journal One Thing You Did Well Today – Develop a habit of tracking small successes.,2025-02-19T21:38:24.705092+00:00
197,Pride/Confidence,Visualize a Past Success – Strengthen self-belief by recalling a moment of accomplishment.,"Take a 5-Minute Victory Walk – Walk with pride, as if celebrating a win.",2025-02-25T21:38:24.705094+00:00
163,Love/Trust Issues,Slow Deep Breathing (10 Rounds) – Practice deep breathing to regulate emotional responses.,Do One Thing That Makes You Feel Loved – Engage in a comforting activity that brings joy and warmth.,2025-02-20T21:38:24.705096+00:00
465,Disappointment/Regret,"Write a ""Worst-Case Scenario"" & Counter It – Helps reframe negativity.",5-Minute Meditation on Acceptance – Sit still and accept the present moment.,2025-02-22T21:38:24.705098+00:00
276,Happiness/Joy,Watch a Comedy Skit – Laughter boosts immunity and happiness.,Smell Something Pleasant – Inhale a favorite scent like citrus or lavender.,2025-03-01T21:38:24.705100+00:00
272,Happiness/Joy,Dance to Your Favorite Song – Move your body freely to release feel-good endorphins.,"Hug Yourself Firmly for 10 Seconds – Releases oxytocin, making you feel good.",2025-02-17T21:38:24.705102+00:00
375,Nostalgia/Irony,Flip Through an Old Photo Album – Reflect on past experiences and emotions.,Write a Letter to Your Younger Self – Process past and present emotions through writing.,2025-02-14T21:38:24.705104+00:00
226,Pride/Confidence,List 3 Skills You Have Mastered – Reinforce self-trust by recognizing personal achievements.,"Try a ""Yes, I Can"" Mantra – Repeat this phrase 10 times to reinforce self-efficacy.",2025-03-11T21:38:24.705106+00:00
392,Love/Trust Issues,Give Yourself a Warm Hug – Use physical self-soothing techniques to promote emotional security.,Slow Deep Breathing (10 Rounds) – Practice deep breathing to regulate emotional responses.,2025-03-07T21:38:24.705108+00:00
375,Disappointment/Regret,List Past Successes – Remind yourself of previous accomplishments.,Shake Your Body for 30 Seconds – Helps release frustration physically.,2025-03-01T21:38:24.705110+00:00
108,Curiosity/Awe,Explore a Fun Fact – Read an interesting fact to stimulate curiosity.,Close Your Eyes & Touch an Object – Identify an object just by its texture to enhance sensory awareness.,2025-02-22T21:38:24.705112+00:00
121,Nostalgia/Irony,Watch a Favorite Childhood Cartoon or Movie – Reconnect with joyful memories.,Look at a Childhood Toy or Object (or Find an Image of It) – Spark warm memories of the past.,2025-02-20T21:38:24.705114+00:00
384,Nostalgia/Irony,Smell a Familiar Scent from Your Past – Use scent to trigger nostalgic memories.,Eat a Meal You Loved as a Kid – Reignite positive childhood associations through taste.,2025-03-02T21:38:24.705116+00:00
237,Sadness/Despair,Holding a Weighted Object – Hug a pillow or weighted blanket for comfort.,"10-Minute Sunlight Break – Step outside, close your eyes, and feel the sun on your skin.",2025-03-06T21:38:24.705118+00:00
311,Comparison/Social Pressure,Reframe a Comparison Thought – Replace negative comparisons with self-growth affirmations.,Turn Envy into Admiration – Shift perspective by learning from those you admire.,2025-03-14T21:38:24.705120+00:00
415,Belonging/Connection,Re-read a Meaningful Text Message from a Loved One – Reinforce emotional connection.,Do a Random Act of Kindness – Perform a kind gesture to build a sense of belonging.,2025-02-25T21:38:24.705122+00:00
215,Shame/Guilt,Tense & Release Your Hands – Helps release built-up guilt and tension.,Guided Meditation on Self-Acceptance – Sit quietly and focus on accepting your imperfections.,2025-03-11T21:38:24.705124+00:00
404,Curiosity/Awe,Go for a Walk in a New Direction – Explore a new route to experience novelty and excitement.,Write a Question You’d Love to Find the Answer To – Spark curiosity by formulating an intriguing question.,2025-03-10T21:38:24.705126+00:00
271,Empathy/Compassion,Loving-Kindness Meditation – Send kind thoughts to yourself and others to cultivate compassion.,Pet or Hug Yourself – Use self-soothing techniques to generate warmth and comfort.,2025-03-15T21:38:24.705128+00:00
415,Anger/Resentment,"Tense & Release Shoulders – Shrug up to your ears, hold for 5 sec, then release.","Tense & Release Shoulders – Shrug up to your ears, hold for 5 sec, then release.",2025-03-11T21:38:24.705130+00:00
498,Curiosity/Awe,Write a Question You’d Love to Find the Answer To – Spark curiosity by formulating an intriguing question.,Read a Random Wikipedia Page – Discover something new by exploring unexpected topics.,2025-03-01T21:38:24.705132+00:00
197,Anger/Resentment,"Clench & Release Fists – Clench fists tight for 5 sec, then release, repeating 5 times.","Write an Angry Letter (Then Destroy It) – Write down your feelings, then shred or burn the letter safely.",2025-03-06T21:38:24.705134+00:00
178,Comparison/Social Pressure,Mindful Scrolling – Set a timer to use social media intentionally without overconsumption.,Engage in a Hobby You Love – Redirect focus to enjoyable and fulfilling activities.,2025-03-05T21:38:24.705136+00:00
122,Anxiety/Stress,"4-7-8 Breathing – Inhale for 4 sec, hold for 7 sec, exhale for 8 sec. Repeat 5 times.","4-7-8 Breathing – Inhale for 4 sec, hold for 7 sec, exhale for 8 sec. Repeat 5 times.",2025-02-17T21:38:24.705138+00:00
276,Nostalgia/Irony,Recall a Funny or Embarrassing Moment & Laugh About It – Embrace emotional growth through humor.,Recall a Funny or Embarrassing Moment & Laugh About It – Embrace emotional growth through humor.,2025-03-05T21:38:24.705140+00:00
118,Sadness/Despair,Watch a Funny Clip – Play a short funny video or meme to spark a smile.,"Warm Drink Ritual – Hold and sip a warm tea or coffee, focusing on the warmth and taste.",2025-02-22T21:38:24.705142+00:00
316,Love/Trust Issues,"Self-Love Affirmations – Repeat: ""I am worthy of love and trust"" to reinforce self-acceptance.",Slow Deep Breathing (10 Rounds) – Practice deep breathing to regulate emotional responses.,2025-03-05T21:38:24.705144+00:00
345,Nostalgia/Irony,Draw a Memory From Your Childhood – Express nostalgia creatively through art.,Recall a Funny or Embarrassing Moment & Laugh About It – Embrace emotional growth through humor.,2025-02-18T21:38:24.705146+00:00
314,Comparison/Social Pressure,Digital Detox for 30 Minutes – Step away from social media to reduce comparison-driven anxiety.,Engage in a Hobby You Love – Redirect focus to enjoyable and fulfilling activities.,2025-02-17T21:38:24.705148+00:00
344,Comparison/Social Pressure,Engage in a Hobby You Love – Redirect focus to enjoyable and fulfilling activities.,Unfollow Triggers on Social Media – Remove content that negatively affects self-perception.,2025-03-13T21:38:24.705151+00:00
261,Disappointment/Regret,"Write a ""Worst-Case Scenario"" & Counter It – Helps reframe negativity.",Reframe the Thought – Write one lesson learned from the experience.,2025-02-19T21:38:24.705153+00:00
259,Anger/Resentment,"Tear Paper into Small Bits – Write your anger down, then tear the paper into tiny pieces.",Hit a Pillow or Punch the Air – Safely release anger by hitting a pillow or air-boxing.,2025-03-05T21:38:24.705155+00:00
445,Shame/Guilt,"Mirror Affirmations – Look in the mirror and say: ""I am enough.""","Self-Compassion Exercise – Say: \“I am human, and mistakes help me grow.\”",2025-03-03T21:38:24.705157+00:00
384,Anger/Resentment,"Clench & Release Fists – Clench fists tight for 5 sec, then release, repeating 5 times.",Hold Ice Cubes in Hands – The cold sensation calms anger quickly.,2025-03-05T21:38:24.705159+00:00
325,Comparison/Social Pressure,List 3 Things You’ve Achieved Lately – Remind yourself of personal progress.,Digital Detox for 30 Minutes – Step away from social media to reduce comparison-driven anxiety.,2025-02-22T21:38:24.705160+00:00
130,Anger/Resentment,"Tear Paper into Small Bits – Write your anger down, then tear the paper into tiny pieces.",Exhale Like a Lion’s Roar – Take a deep breath and exhale forcefully with an open mouth.,2025-02-21T21:38:24.705163+00:00
378,Shame/Guilt,Listen to Soothing Music Without Lyrics – Helps quiet self-criticism and promote relaxation.,Watch a Video on Overcoming Perfectionism – Learn from experts about self-acceptance.,2025-02-20T21:38:24.705164+00:00
231,Comparison/Social Pressure,Reframe a Comparison Thought – Replace negative comparisons with self-growth affirmations.,List 3 Things You’ve Achieved Lately – Remind yourself of personal progress.,2025-03-12T21:38:24.705166+00:00
168,Belonging/Connection,Join an Online Forum or Community Related to Your Interests – Engage with like-minded individuals.,Look at an Old Group Photo & Reflect on Positive Moments – Recall happy memories to reinforce connection.,2025-02-28T21:38:24.705168+00:00
185,Nostalgia/Irony,Eat a Meal You Loved as a Kid – Reignite positive childhood associations through taste.,Recall a Funny or Embarrassing Moment & Laugh About It – Embrace emotional growth through humor.,2025-02-22T21:38:24.705170+00:00
463,Anger/Resentment,"Write an Angry Letter (Then Destroy It) – Write down your feelings, then shred or burn the letter safely.","Count Backward from 100 by 7s – Forces logical thinking, distracting from anger.",2025-03-14T21:38:24.705172+00:00
260,Shame/Guilt,Draw a Representation of Your Shame – Express emotions visually through drawing.,Watch a Video on Overcoming Perfectionism – Learn from experts about self-acceptance.,2025-03-14T21:38:24.705174+00:00
232,Shame/Guilt,"Mirror Affirmations – Look in the mirror and say: ""I am enough.""",Tense & Release Your Hands – Helps release built-up guilt and tension.,2025-03-11T21:38:24.705176+00:00
260,Curiosity/Awe,Go for a Walk in a New Direction – Explore a new route to experience novelty and excitement.,Write a Question You’d Love to Find the Answer To – Spark curiosity by formulating an intriguing question.,2025-03-11T21:38:24.705178+00:00
442,Comparison/Social Pressure,Turn Envy into Admiration – Shift perspective by learning from those you admire.,Reframe a Comparison Thought – Replace negative comparisons with self-growth affirmations.,2025-03-08T21:38:24.705180+00:00
329,Empathy/Compassion,Listen Deeply to Someone Without Responding – Practice active listening to build empathy.,Listen Deeply to Someone Without Responding – Practice active listening to build empathy.,2025-03-09T21:38:24.705183+00:00
142,Anger/Resentment,"Count Backward from 100 by 7s – Forces logical thinking, distracting from anger.",Hold Ice Cubes in Hands – The cold sensation calms anger quickly.,2025-03-07T21:38:24.705185+00:00
187,Empathy/Compassion,Pet or Hug Yourself – Use self-soothing techniques to generate warmth and comfort.,Loving-Kindness Meditation – Send kind thoughts to yourself and others to cultivate compassion.,2025-02-20T21:38:24.705187+00:00
260,Curiosity/Awe,Look at the Sky for 2 Minutes – Observe clouds or stars to experience a sense of wonder.,Write a Question You’d Love to Find the Answer To – Spark curiosity by formulating an intriguing question.,2025-03-13T21:38:24.705189+00:00
327,Comparison/Social Pressure,Digital Detox for 30 Minutes – Step away from social media to reduce comparison-driven anxiety.,Turn Envy into Admiration – Shift perspective by learning from those you admire.,2025-02-24T21:38:24.705191+00:00
473,Comparison/Social Pressure,List 3 Strengths Unique to You – Focus on personal qualities that make you special.,List 3 Things You’ve Achieved Lately – Remind yourself of personal progress.,2025-02-23T21:38:24.705193+00:00
196,Curiosity/Awe,Read a Random Wikipedia Page – Discover something new by exploring unexpected topics.,Read a Random Wikipedia Page – Discover something new by exploring unexpected topics.,2025-02-17T21:38:24.705195+00:00
372,Shame/Guilt,"Write a ""Lessons Learned"" List – List things you have learned from mistakes.","Write a ""Lessons Learned"" List – List things you have learned from mistakes.",2025-03-03T21:38:24.705197+00:00
348,Love/Trust Issues,"Hand-on-Heart Exercise – Close your eyes, place your hand on your heart, and take deep breaths to cultivate self-compassion.",Do One Thing That Makes You Feel Loved – Engage in a comforting activity that brings joy and warmth.,2025-02-17T21:38:24.705199+00:00
362,Belonging/Connection,Practice a 30-Second Smile at Yourself in the Mirror – Improve self-confidence and social ease.,Join an Online Forum or Community Related to Your Interests – Engage with like-minded individuals.,2025-03-06T21:38:24.705201+00:00
337,Shame/Guilt,"Write a ""Lessons Learned"" List – List things you have learned from mistakes.",Watch a Video on Overcoming Perfectionism – Learn from experts about self-acceptance.,2025-03-13T21:38:24.705203+00:00
316,Pride/Confidence,Power Pose for 2 Minutes – Stand confidently with hands on hips and chin up to boost self-assurance.,"Try a ""Yes, I Can"" Mantra – Repeat this phrase 10 times to reinforce self-efficacy.",2025-02-23T21:38:24.705205+00:00
295,Happiness/Joy,Smell Something Pleasant – Inhale a favorite scent like citrus or lavender.,Watch a Comedy Skit – Laughter boosts immunity and happiness.,2025-02-24T21:38:24.705207+00:00
441,Anger/Resentment,"Clench & Release Fists – Clench fists tight for 5 sec, then release, repeating 5 times.","Count Backward from 100 by 7s – Forces logical thinking, distracting from anger.",2025-03-05T21:38:24.705209+00:00
283,Love/Trust Issues,Create a “What I Want in Love” List – Clarify personal relationship standards and desires.,Slow Deep Breathing (10 Rounds) – Practice deep breathing to regulate emotional responses.,2025-02-16T21:38:24.705211+00:00
131,Pride/Confidence,Read or Watch an Inspiring Story – Draw motivation from stories of perseverance and success.,Set a Mini Goal & Achieve It – Accomplish a small task to boost confidence.,2025-03-01T21:38:24.705213+00:00
246,Belonging/Connection,Do a Random Act of Kindness – Perform a kind gesture to build a sense of belonging.,Practice a 30-Second Smile at Yourself in the Mirror – Improve self-confidence and social ease.,2025-02-27T21:38:24.705215+00:00
361,Disappointment/Regret,Talk to Yourself Kindly – Replace negative self-talk with encouragement.,Watch an Inspiring Talk – Motivates and uplifts perspective.,2025-03-05T21:38:24.705217+00:00
436,Love/Trust Issues,Write: “What Do I Need to Feel Safe?” – Identify emotional needs to build trust in relationships.,Slow Deep Breathing (10 Rounds) – Practice deep breathing to regulate emotional responses.,2025-03-12T21:38:24.705219+00:00
287,Curiosity/Awe,Stare at a Beautiful Photo or Artwork – Take in visual beauty to activate a sense of awe.,Go for a Walk in a New Direction – Explore a new route to experience novelty and excitement.,2025-03-07T21:38:24.705221+00:00
362,Happiness/Joy,Look at Bright Colors or a Sunset – Vibrant colors can lift your mood.,Smell Something Pleasant – Inhale a favorite scent like citrus or lavender.,2025-02-15T21:38:24.705223+00:00
152,Nostalgia/Irony,Listen to a Song That Reminds You of a Specific Time – Experience emotional connections through music.,Look at a Childhood Toy or Object (or Find an Image of It) – Spark warm memories of the past.,2025-03-02T21:38:24.705225+00:00
430,Empathy/Compassion,Listen Deeply to Someone Without Responding – Practice active listening to build empathy.,Visualize Walking in Someone Else’s Shoes – Imagine another’s perspective to enhance understanding.,2025-02-20T21:38:24.705227+00:00
482,Happiness/Joy,Look at Bright Colors or a Sunset – Vibrant colors can lift your mood.,Watch a Comedy Skit – Laughter boosts immunity and happiness.,2025-03-07T21:38:24.705229+00:00
155,Belonging/Connection,Write 3 Things You Like About Yourself – Boost self-acceptance and confidence.,Look at an Old Group Photo & Reflect on Positive Moments – Recall happy memories to reinforce connection.,2025-02-15T21:38:24.705231+00:00
467,Disappointment/Regret,Shake Your Body for 30 Seconds – Helps release frustration physically.,Write a Letter to Your Future Self – Offer encouragement and advice.,2025-03-15T21:38:24.705233+00:00
212,Anxiety/Stress,"Progressive Muscle Relaxation – Tense each muscle for 5 sec, then release.",Cold Water Splash – Splash cold water on your face to reset your nervous system.,2025-03-15T21:38:24.705235+00:00
371,Empathy/Compassion,Write Down What You Love About Someone – Focus on positive attributes to strengthen connections.,Help Someone Anonymously – Perform a kind act without seeking recognition.,2025-02-21T21:38:24.705237+00:00
459,Sadness/Despair,"10-Minute Sunlight Break – Step outside, close your eyes, and feel the sun on your skin.",Look at Happy Photos – Scroll through old photos that bring back happy memories.,2025-02-16T21:38:24.705239+00:00
363,Belonging/Connection,Write 3 Things You Like About Yourself – Boost self-acceptance and confidence.,Re-read a Meaningful Text Message from a Loved One – Reinforce emotional connection.,2025-03-06T21:38:24.705241+00:00
